Name,Version Count
eventful-test-helpers,5
event-list,18
eventstore,63
every,2
exact-combinatorics,5
exact-pi,17
exceptional,16
exception-mtl,10
exceptions,27
exception-transformers,15
executable-hash,6
executable-path,5
exit-codes,3
exomizer,1
expiring-cache-map,5
explicit-exception,19
exp-pairs,11
extensible-exceptions,6
extra,56
extractable-singleton,3
extrapolate,13
fail,1
failable,13
fakedata,10
farmhash,6
fast-builder,13
fast-digits,4
fast-logger,46
fast-math,4
fb,88
fclabels,53
feature-flags,2
fedora-dists,7
feed,30
FenwickTree,4
fft,19
fgl,21
fib,1
filecache,15
file-embed,29
file-embed-lzma,1
filelock,6
filemanip,6
file-modules,7
filepath,17
filepattern,3
fileplow,1
filter-logger,6
filtrable,9
fin,6
FindBin,5
fingertree,15
finite-typelits,8
first-class-families,9
first-class-patterns,10
fitspec,13
fixed,6
fixed-length,8
fixed-vector,32
fixed-vector-hetero,8
flac,4
flac-picture,3
flags-applicative,14
flat-mcmc,12
flay,4
flexible-defaults,8
FloatingHex,5
floatshow,7
flow,19
fmlist,13
fmt,13
fmt-for-rio,1
fn,14
focus,13
focuslist,3
foldable1,1
fold-debounce,11
fold-debounce-conduit,11
foldl,39
folds,14
follow-file,5
FontyFruity,20
force-layout,24
foreign-store,3
forkable-monad,6
forma,7
format-numbers,2
formatting,32
foundation,25
free,57
freenect,6
freer-simple,7
freetype2,4
free-vl,5
friendly-time,6
frisby,5
from-sum,7
frontmatter,3
fsnotify,26
fsnotify-conduit,3
funcmp,10
function-builder,10
functor-classes-compat,1
functor-combinators,5
fused-effects,15
fuzzcheck,1
fuzzy-dates,6
fuzzyset,11
galois-field,8
gauge,10
gc,4
gd,15
gdp,3
general-games,10
generic-arbitrary,1
generic-data,11
generic-data-surgery,2
generic-deriving,39
generic-lens,17
GenericPretty,19
generic-random,13
generics-eot,8
generics-mrsop,6
generics-sop,21
generics-sop-lens,5
genvalidity,29
genvalidity-aeson,6
genvalidity-bytestring,10
genvalidity-containers,16
genvalidity-hspec,26
genvalidity-hspec-aeson,12
genvalidity-hspec-binary,7
