bitcoin-tx,6, at Mon May 11 02:27:07 UTC 2015,4350 total (199 in the last 30 days)
bitcoin-types,2, at Sun May 10 05:05:09 UTC 2015,2257 total (99 in the last 30 days)
bits,10, at Thu May  2 20:09:37 UTC 2019,9791 total (374 in the last 30 days)
bitset-word8,3, at Sun Dec 23 09:36:28 UTC 2018,2004 total (161 in the last 30 days)
bits-extra,8, at Tue Dec 10 00:42:27 UTC 2019,3207 total (373 in the last 30 days)
bitvec,12, at Wed Oct 23 22:22:15 UTC 2019,3899 total (321 in the last 30 days)
bitx-bitcoin,20, at Sun Dec 24 08:34:55 UTC 2017,9347 total (428 in the last 30 days)
blake2,2, at Mon Dec 24 17:03:21 UTC 2018,1773 total (103 in the last 30 days)
blas-carray,4, at Thu Jan 24 13:44:40 UTC 2019,1729 total (194 in the last 30 days)
blas-comfort-array,2, at Fri May 24 04:31:13 UTC 2019,774 total (102 in the last 30 days)
blas-ffi,4, at Thu Dec 20 09:26:27 UTC 2018,2032 total (218 in the last 30 days)
blas-hs,1, at Sat Dec 27 20:18:46 UTC 2014,1568 total (56 in the last 30 days)
blaze-bootstrap,1, at Sun Aug 23 15:19:52 UTC 2015,1764 total (86 in the last 30 days)
blaze-builder,24, at Wed Mar 14 21:11:56 UTC 2018,294888 total (1362 in the last 30 days)
blaze-colonnade,6, at Mon Jun 24 12:39:28 UTC 2019,2848 total (236 in the last 30 days)
blaze-html,58, at Wed Oct  2 15:15:27 UTC 2019,258511 total (2807 in the last 30 days)
blaze-markup,27, at Wed Oct  2 14:08:05 UTC 2019,231611 total (1293 in the last 30 days)
blaze-svg,12, at Mon Mar 13 15:55:45 UTC 2017,23313 total (460 in the last 30 days)
blaze-textual,11, at Wed Jul  1 03:08:51 UTC 2015,36145 total (499 in the last 30 days)
bmp,20, at Mon Aug 15 11:55:35 UTC 2016,29474 total (654 in the last 30 days)
board-games,9, at Fri Jul 19 06:04:15 UTC 2019,5004 total (296 in the last 30 days)
boltzmann-samplers,1, at Sun Apr  1 16:31:08 UTC 2018,1211 total (85 in the last 30 days)
Boolean,9, at Sun Feb 19 22:07:32 UTC 2017,41083 total (480 in the last 30 days)
boolean-like,1, at Thu Sep 22 20:24:29 UTC 2016,1341 total (100 in the last 30 days)
boolean-normal-forms,3, at Wed Dec  4 19:42:09 UTC 2019,2246 total (169 in the last 30 days)
boolsimplifier,4, at Mon Dec 15 07:37:39 UTC 2014,4324 total (214 in the last 30 days)
boots,9, at Tue Sep  3 07:55:22 UTC 2019,1173 total (226 in the last 30 days)
bordacount,0, at Fri Sep  1 23:04:16 UTC 2017,830 total (54 in the last 30 days)
boring,4, at Fri Dec 13 14:45:23 UTC 2019,1691 total (145 in the last 30 days)
both,1, at Thu May 26 11:10:13 UTC 2016,1482 total (100 in the last 30 days)
bound,32, at Sat Jul 29 03:13:29 UTC 2017,23983 total (979 in the last 30 days)
BoundedChan,6, at Wed May 14 23:30:48 UTC 2014,12741 total (185 in the last 30 days)
bounded-queue,0, at Mon May  6 22:52:14 UTC 2019,269 total (28 in the last 30 days)
boundingboxes,5, at Sat Mar 14 12:18:55 UTC 2015,4820 total (200 in the last 30 days)
bower-json,11, at Sun Dec 25 00:08:20 UTC 2016,9245 total (339 in the last 30 days)
boxes,5, at Sat Mar 10 20:45:35 UTC 2018,23102 total (373 in the last 30 days)
brick,87, at Fri Feb 14 01:57:02 UTC 2020,46132 total (3985 in the last 30 days)
brittany,8, at Mon Dec  9 21:44:43 UTC 2019,5077 total (438 in the last 30 days)
bsb-http-chunked,5, at Sat Sep 29 14:34:53 UTC 2018,7022 total (419 in the last 30 days)
bson,26, at Sat Feb  8 16:48:01 UTC 2020,24742 total (880 in the last 30 days)
bson-lens,1, at Sat Sep 12 23:33:17 UTC 2015,1471 total (60 in the last 30 days)
btrfs,8, at Thu Oct 25 19:45:31 UTC 2018,5323 total (298 in the last 30 days)
buffer-builder,18, at Fri Oct 12 05:57:41 UTC 2018,9593 total (486 in the last 30 days)
buffer-pipe,0, at Mon Jan 11 20:25:11 UTC 2016,838 total (41 in the last 30 days)
bugsnag-haskell,7, at Thu Feb 13 18:55:35 UTC 2020,2312 total (345 in the last 30 days)
bulletproofs,7, at Mon Sep 30 12:47:05 UTC 2019,2273 total (210 in the last 30 days)
butcher,13, at Sun Jun  9 18:59:09 UTC 2019,7870 total (630 in the last 30 days)
butter,5, at Tue Jun 19 17:36:20 UTC 2018,1980 total (167 in the last 30 days)
bv,7, at Sun Mar 11 07:24:16 UTC 2018,5471 total (228 in the last 30 days)
bv-little,6, at Wed Oct  9 15:12:59 UTC 2019,1994 total (188 in the last 30 days)
byteable,1, at Fri Jun 28 06:16:30 UTC 2013,161419 total (287 in the last 30 days)
bytedump,1, at Thu Sep  6 06:52:28 UTC 2012,4424 total (163 in the last 30 days)
byteorder,4, at Wed Apr 24 03:02:12 UTC 2013,76278 total (504 in the last 30 days)
bytes,37, at Mon Feb  3 12:51:38 UTC 2020,44434 total (1452 in the last 30 days)
byteset,1, at Tue Jul  7 01:26:11 UTC 2015,1548 total (84 in the last 30 days)
bytestring,28, at Sat Jul 13 16:10:24 UTC 2019,78361 total (1294 in the last 30 days)
bytestring-builder,9, at Tue Sep 25 12:58:13 UTC 2018,66488 total (701 in the last 30 days)
bytestring-conversion,5, at Tue Jul  7 07:36:04 UTC 2015,9048 total (211 in the last 30 days)
bytestring-lexing,15, at Sun Jun  7 04:21:43 UTC 2015,23829 total (560 in the last 30 days)
bytestring-strict-builder,5, at Tue May 28 14:52:16 UTC 2019,5041 total (236 in the last 30 days)
bytestring-to-vector,1, at Fri Feb  8 04:53:15 UTC 2019,878 total (123 in the last 30 days)
bytestring-tree-builder,14, at Sat May 11 09:16:58 UTC 2019,9013 total (454 in the last 30 days)
bzlib,10, at Sun Jan 25 16:53:00 UTC 2015,18580 total (667 in the last 30 days)
