quickcheck-state-machine,10, at Tue Jan 15 11:33:34 UTC 2019,3978 total (312 in the last 30 days)
quickcheck-text,4, at Thu Sep 22 09:16:38 UTC 2016,12858 total (166 in the last 30 days)
quickcheck-transformer,1, at Thu May 23 10:38:16 UTC 2019,541 total (72 in the last 30 days)
quickcheck-unicode,2, at Sun May 21 01:54:39 UTC 2017,4267 total (136 in the last 30 days)
radius,11, at Mon Dec 30 21:24:24 UTC 2019,3799 total (364 in the last 30 days)
rainbow,35, at Fri Nov 29 23:12:39 UTC 2019,18663 total (866 in the last 30 days)
rainbox,22, at Tue Dec 10 03:02:08 UTC 2019,10488 total (793 in the last 30 days)
ramus,3, at Tue Feb  7 21:23:26 UTC 2017,1984 total (178 in the last 30 days)
rando,3, at Sat Mar 31 20:30:20 UTC 2018,1242 total (134 in the last 30 days)
random,8, at Tue Sep 16 21:34:46 UTC 2014,377590 total (556 in the last 30 days)
random-bytestring,7, at Thu Jun  6 06:18:07 UTC 2019,2750 total (256 in the last 30 days)
random-fu,21, at Thu Dec  5 23:45:53 UTC 2019,18087 total (901 in the last 30 days)
random-shuffle,2, at Tue Jun 19 16:32:20 UTC 2012,25204 total (280 in the last 30 days)
random-source,4, at Tue Jul 16 05:29:48 UTC 2013,8579 total (177 in the last 30 days)
random-tree,0, at Tue Feb  9 17:48:08 UTC 2016,816 total (41 in the last 30 days)
range,10, at Sat Oct 26 03:41:48 UTC 2019,4610 total (388 in the last 30 days)
Ranged-sets,5, at Mon Mar 11 09:23:31 UTC 2019,5323 total (276 in the last 30 days)
range-set-list,12, at Sat Aug  3 11:10:22 UTC 2019,6852 total (355 in the last 30 days)
rank1dynamic,9, at Tue Aug 22 13:34:12 UTC 2017,10930 total (308 in the last 30 days)
rank2classes,15, at Sat Mar  7 20:12:45 UTC 2020,5835 total (711 in the last 30 days)
Rasterific,29, at Sat Jan 25 15:10:36 UTC 2020,18566 total (1004 in the last 30 days)
rasterific-svg,19, at Mon Oct  8 12:01:00 UTC 2018,9650 total (490 in the last 30 days)
ratel,25, at Fri Nov  8 15:40:55 UTC 2019,9250 total (619 in the last 30 days)
ratel-wai,14, at Fri Nov  8 15:43:42 UTC 2019,5358 total (332 in the last 30 days)
rattle,0, at Wed Apr 17 22:47:51 UTC 2019,275 total (55 in the last 30 days)
rattletrap,74, at Fri Nov  8 15:48:07 UTC 2019,27838 total (2326 in the last 30 days)
rawfilepath,6, at Thu May 11 07:06:47 UTC 2017,3533 total (204 in the last 30 days)
rawstring-qm,8, at Fri Nov 18 12:28:12 UTC 2016,4224 total (147 in the last 30 days)
raw-strings-qq,3, at Sun Dec 13 23:03:32 UTC 2015,7169 total (316 in the last 30 days)
rcu,6, at Thu May  2 20:41:06 UTC 2019,3092 total (215 in the last 30 days)
rdf,3, at Tue Apr 23 09:02:46 UTC 2019,1867 total (115 in the last 30 days)
re2,2, at Sat Dec  8 04:41:05 UTC 2018,1605 total (144 in the last 30 days)
readable,8, at Sat Feb  7 23:36:46 UTC 2015,17752 total (397 in the last 30 days)
read-editor,2, at Sun Jan 10 18:52:28 UTC 2016,1772 total (120 in the last 30 days)
read-env-var,2, at Wed Mar 22 14:30:01 UTC 2017,1603 total (100 in the last 30 days)
reanimate,12, at Tue Feb 25 01:00:46 UTC 2020,2420 total (535 in the last 30 days)
reanimate-svg,16, at Mon Feb 17 10:34:23 UTC 2020,3320 total (829 in the last 30 days)
rebase,45, at Wed Feb 26 13:02:42 UTC 2020,19335 total (1742 in the last 30 days)
record-dot-preprocessor,8, at Sun Dec  8 20:47:35 UTC 2019,2349 total (293 in the last 30 days)
record-hasfield,0, at Thu Mar 21 13:47:58 UTC 2019,351 total (42 in the last 30 days)
records-sop,3, at Thu May  9 19:36:28 UTC 2019,1532 total (116 in the last 30 days)
recursion-schemes,40, at Fri Apr 26 15:40:26 UTC 2019,28753 total (1189 in the last 30 days)
reducers,31, at Tue Jul  3 15:18:27 UTC 2018,59693 total (1023 in the last 30 days)
refact,4, at Sat Nov 21 22:53:49 UTC 2015,25535 total (401 in the last 30 days)
references,13, at Tue Nov 28 00:57:57 UTC 2017,7680 total (392 in the last 30 days)
reflection,47, at Tue Aug 27 13:38:17 UTC 2019,172918 total (2186 in the last 30 days)
RefSerialize,17, at Mon Feb  6 23:42:14 UTC 2017,14345 total (723 in the last 30 days)
regex,33, at Mon Jan 27 23:49:25 UTC 2020,16069 total (988 in the last 30 days)
regex-applicative,16, at Sun Aug 18 20:58:53 UTC 2019,17770 total (541 in the last 30 days)
regex-applicative-text,1, at Mon Feb  8 20:03:35 UTC 2016,5821 total (160 in the last 30 days)
regex-base,10, at Wed Sep 25 07:55:52 UTC 2019,213107 total (1076 in the last 30 days)
regex-compat,7, at Mon Sep 30 22:58:41 UTC 2019,64589 total (741 in the last 30 days)
regex-compat-tdfa,4, at Thu Oct  3 16:40:34 UTC 2013,9394 total (231 in the last 30 days)
regex-pcre,10, at Mon Sep 30 11:53:40 UTC 2019,19196 total (587 in the last 30 days)
regex-pcre-builtin,10, at Mon Sep 30 11:53:40 UTC 2019,19196 total (587 in the last 30 days)
regex-pcre-text,1, at Sat Jun  3 02:43:56 UTC 2017,1331 total (55 in the last 30 days)
regex-posix,17, at Mon Sep 30 22:16:17 UTC 2019,143194 total (1057 in the last 30 days)
regex-tdfa,25, at Tue Nov 26 22:34:30 UTC 2019,129935 total (1682 in the last 30 days)
regex-tdfa-text,3, at Mon Aug 24 13:13:01 UTC 2015,14981 total (156 in the last 30 days)
regex-with-pcre,23, at Mon Jan 27 23:50:27 UTC 2020,8847 total (558 in the last 30 days)
registry,35, at Tue Aug  6 07:36:32 UTC 2019,8661 total (1047 in the last 30 days)
reinterpret-cast,0, at Wed Apr 30 14:55:12 UTC 2014,2909 total (76 in the last 30 days)
relapse,7, at Tue Mar 21 16:42:14 UTC 2017,2982 total (68 in the last 30 days)
relational-query,93, at Tue Jul  9 18:47:42 UTC 2019,42428 total (2727 in the last 30 days)
relational-query-HDBC,41, at Tue May 14 16:39:54 UTC 2019,16623 total (1001 in the last 30 days)
relational-record,21, at Sun Jun 17 16:52:39 UTC 2018,10117 total (581 in the last 30 days)
relational-schemas,22, at Tue May 14 16:21:51 UTC 2019,11823 total (694 in the last 30 days)
relude,6, at Wed Oct 30 20:03:45 UTC 2019,3115 total (304 in the last 30 days)
renderable,4, at Thu Jul 14 15:42:58 UTC 2016,2538 total (121 in the last 30 days)
repa,41, at Wed Oct  3 13:40:42 UTC 2018,38195 total (1326 in the last 30 days)
repa-algorithms,22, at Wed Oct  3 13:41:20 UTC 2018,17215 total (564 in the last 30 days)
repa-io,21, at Sat Jun 18 05:40:12 UTC 2016,16647 total (536 in the last 30 days)
replace-attoparsec,4, at Fri Nov  1 13:47:02 UTC 2019,826 total (155 in the last 30 days)
replace-megaparsec,11, at Thu Mar  5 16:17:35 UTC 2020,1891 total (440 in the last 30 days)
repline,9, at Sat Dec 28 06:43:53 UTC 2019,7350 total (439 in the last 30 days)
req,14, at Sun Feb  9 12:50:41 UTC 2020,7725 total (588 in the last 30 days)
req-conduit,3, at Fri Dec  1 11:11:37 UTC 2017,2627 total (134 in the last 30 days)
require,8, at Tue Sep 17 15:36:33 UTC 2019,2506 total (200 in the last 30 days)
rerebase,17, at Wed Feb 26 13:08:18 UTC 2020,6427 total (632 in the last 30 days)
resistor-cube,7, at Mon Aug 12 11:42:42 UTC 2019,2848 total (212 in the last 30 days)
resource-pool,12, at Tue Dec 16 09:00:59 UTC 2014,71041 total (637 in the last 30 days)
resourcet,53, at Sun Mar  1 09:04:26 UTC 2020,264223 total (2996 in the last 30 days)
result,8, at Sun Oct  2 01:26:45 UTC 2016,4017 total (228 in the last 30 days)
rethinkdb-client-driver,23, at Wed Oct 11 17:00:49 UTC 2017,14793 total (687 in the last 30 days)
retry,27, at Fri Oct 11 15:34:17 UTC 2019,36577 total (1191 in the last 30 days)
rev-state,2, at Mon Feb  1 22:42:06 UTC 2016,2508 total (102 in the last 30 days)
rfc1751,2, at Wed Sep 12 13:56:18 UTC 2018,959 total (118 in the last 30 days)
rfc5051,4, at Fri Oct 19 03:40:53 UTC 2018,25702 total (376 in the last 30 days)
rg,2, at Sat Jun  8 07:08:54 UTC 2019,649 total (121 in the last 30 days)
rhine,12, at Mon Sep 16 15:51:00 UTC 2019,4632 total (349 in the last 30 days)
rhine-gloss,6, at Tue Jun  4 16:35:07 UTC 2019,2319 total (182 in the last 30 days)
rigel-viz,1, at Mon Feb 25 10:57:24 UTC 2019,625 total (86 in the last 30 days)
rio,22, at Sun Mar  1 09:03:53 UTC 2020,9915 total (1321 in the last 30 days)
