﻿package,Github url
hasql-transaction,https://github.com/nikita-volkov/hasql-transaction
hasql-pool,https://github.com/nikita-volkov/hasql-pool
hasql,https://github.com/nikita-volkov/hasql
focus,https://github.com/nikita-volkov/focus
deque,https://github.com/nikita-volkov/deque
contravariant-extras,https://github.com/nikita-volkov/contravariant-extras
cases,https://github.com/nikita-volkov/cases
bytestring-tree-builder,https://github.com/nikita-volkov/bytestring-tree-builder
bytestring-strict-builder,https://github.com/nikita-volkov/bytestring-strict-builder
binary-parser,https://github.com/nikita-volkov/binary-parser
base-prelude,https://github.com/nikita-volkov/base-prelude
loop,https://github.com/nh2/loop
iso8601-time,https://github.com/nh2/iso8601-time
conduit-concurrent-map,https://github.com/nh2/conduit-concurrent-map
invariant,https://github.com/nfrisby/invariant-functors
js-jquery,https://github.com/ndmitchell/js-jquery#readme
js-flot,https://github.com/ndmitchell/js-flot#readme
js-dgtable,https://github.com/ndmitchell/js-dgtable#readme
hlint,https://github.com/ndmitchell/hlint#readme
hexml,https://github.com/ndmitchell/hexml#readme
ghcid,https://github.com/ndmitchell/ghcid#readme
filepattern,https://github.com/ndmitchell/filepattern#readme
extra,https://github.com/ndmitchell/extra#readme
cmdargs,https://github.com/ndmitchell/cmdargs#readme
debug-trace-var,https://github.com/ncaq/debug-trace-var#readme
instance-control,https://github.com/nboldi/instance-control
api-field-json-th,https://github.com/nakaji-dayo/api-field-json-th
http-link-header,https://github.com/myfreeweb/http-link-header
hspec-expectations-pretty-diff,https://github.com/myfreeweb/hspec-expectations-pretty-diff#readme
data-textual,https://github.com/mvv/data-textual
data-serializer,https://github.com/mvv/data-serializer
data-endian,https://github.com/mvv/data-endian
data-dword,https://github.com/mvv/data-dword
data-checked,https://github.com/mvv/data-checked
data-bword,https://github.com/mvv/data-bword
flags-applicative,https://github.com/mtth/flags-applicative
async-timer,https://github.com/mtesseract/async-timer#readme
async-refresh-tokens,https://github.com/mtesseract/async-refresh-tokens#readme
async-refresh,https://github.com/mtesseract/async-refresh
hmatrix-vector-sized,https://github.com/mstksg/hmatrix-vector-sized#readme
bins,https://github.com/mstksg/bins#readme
auto,https://github.com/mstksg/auto
advent-of-code-api,https://github.com/mstksg/advent-of-code-api#readme
lame,https://github.com/mrkkrp/lame
JuicyPixels-extra,https://github.com/mrkkrp/JuicyPixels-extra
identicon,https://github.com/mrkkrp/identicon
html-entity-map,https://github.com/mrkkrp/html-entity-map
htaglib,https://github.com/mrkkrp/htaglib
hspec-megaparsec,https://github.com/mrkkrp/hspec-megaparsec
ghc-syntax-highlighter,https://github.com/mrkkrp/ghc-syntax-highlighter
forma,https://github.com/mrkkrp/forma
flac-picture,https://github.com/mrkkrp/flac-picture
flac,https://github.com/mrkkrp/flac
cue-sheet,https://github.com/mrkkrp/cue-sheet
finite-typelits,https://github.com/mniip/finite-typelits
intro,https://github.com/minad/intro#readme
ihs,https://github.com/minad/ihs
console-style,https://github.com/minad/console-style#readme
colorful-monoids,https://github.com/minad/colorful-monoids#readme
enummapset,https://github.com/Mikolaj/enummapset
assert-failure,https://github.com/Mikolaj/assert-failure
IPv6Addr,https://github.com/MichelBoucey/IPv6Addr
ip6addr,https://github.com/MichelBoucey/ip6addr
glabrous,https://github.com/MichelBoucey/glabrous
cayley-client,https://github.com/MichelBoucey/cayley-client
hmpfr,https://github.com/michalkonecny/hmpfr
FenwickTree,https://github.com/mgajda/FenwickTree
deferred-folds,https://github.com/metrix-ai/deferred-folds
ctrie,https://github.com/mcschroeder/ctrie
choice,https://github.com/mboes/choice#readme
lawful,https://github.com/matt-noonan/lawful#readme
justified-containers,https://github.com/matt-noonan/justified-containers
gdp,https://github.com/matt-noonan/gdp#readme
lifted-async,https://github.com/maoe/lifted-async
influxdb,https://github.com/maoe/influxdb-haskell
ghc-prof,https://github.com/maoe/ghc-prof
language-c-quote,https://github.com/mainland/language-c-quote
generic-data,https://github.com/Lysxia/generic-data#readme
first-class-families,https://github.com/Lysxia/first-class-families#readme
boltzmann-samplers,https://github.com/Lysxia/boltzmann-samplers#readme
data-inttrie,https://github.com/luqui/data-inttrie
conduit-zstd,https://github.com/luispedro/conduit-zstd#readme
conduit-algorithms,https://github.com/luispedro/conduit-algorithms#readme
data-tree-print,https://github.com/lspitzner/data-tree-print
czipwith,https://github.com/lspitzner/czipwith/
butcher,https://github.com/lspitzner/butcher/
brittany,https://github.com/lspitzner/brittany/
lens-misc,https://github.com/louispan/lens-misc#readme
l10n,https://github.com/louispan/l10n#readme
data-diverse,https://github.com/louispan/data-diverse#readme
arrow-extras,https://github.com/louispan/arrow-extras#readme
loch-th,https://github.com/liskin/loch-th
freer-simple,https://github.com/lexi-lambda/freer-simple#readme
crc32c,https://github.com/leptonyu/crc32c#readme
boots,https://github.com/leptonyu/boots#readme
ghost-buster,https://github.com/Lazersmoke/ghost-buster#readme
fuzzyset,https://github.com/laserpants/fuzzyset-haskell
LambdaHack,https://github.com/LambdaHack/LambdaHack/wiki/Sample-dungeon-crawler
dotgen,https://github.com/ku-fpg/dotgen
data-reify,https://github.com/ku-fpg/data-reify
first-class-patterns,https://github.com/kowainik/first-class-patterns
co-log,https://github.com/kowainik/co-log
appendmap,https://github.com/koterpillar/appendmap#readme
hinotify,https://github.com/kolmodin/hinotify
binary,https://github.com/kolmodin/binary
cmark-gfm,https://github.com/kivikakk/cmark-gfm-hs
generic-lens,https://github.com/kcsongor/generic-lens
http2,https://github.com/kazu-yamamoto/http2
dns,https://github.com/kazu-yamamoto/dns/pull/113
cond,https://github.com/kallisti-dev/cond
dublincore-xml-conduit,https://github.com/k0ral/dublincore-xml-conduit
conduit-parse,https://github.com/k0ral/conduit-parse
di-monad,https://github.com/k0001/di/blob/master/di-monad/LICENSE.txt
di-core,https://github.com/k0001/di/blob/master/di-core/LICENSE.txt
http-directory,https://github.com/juhp/http-directory
hkgr,https://github.com/juhp/hkgr
fedora-dists,https://github.com/juhp/fedora-dists
dl-fedora,https://github.com/juhp/dl-fedora
cabal-rpm,https://github.com/juhp/cabal-rpm
haskeline,https://github.com/judah/haskeline
flat-mcmc,https://github.com/jtobin/flat-mcmc
brick,https://github.com/jtdaugherty/brick/
json-rpc,https://github.com/jprupp/json-rpc
apecs,https://github.com/jonascarpay/apecs#readme
apecs-gloss,https://github.com/jonascarpay/apecs/apecs-gloss
bimap,https://github.com/joelwilliamson/bimap
doctemplates,https://github.com/jgm/doctemplates#readme
cmark,https://github.com/jgm/cmark-hs
higher-leveldb,https://github.com/jeremyjh/higher-leveldb
enclosed-exceptions,https://github.com/jcristovao/enclosed-exceptions
cased,https://github.com/jb55/cased
dunai,https://github.com/ivanperez-keera/dunai
graphviz,https://github.com/ivan-m/graphviz
do-notation,https://github.com/isovector/do-notation#readme
hedis,https://github.com/informatikr/hedis
geojson,https://github.com/indicatrix/hs-geojson
largeword,https://github.com/idontgetoutmuch/largeword
feature-flags,https://github.com/iand675/feature-flags
datadog,https://github.com/iand675/datadog
bv,https://github.com/iagoabal/haskell-bv
hyraxAbif,https://github.com/hyraxbio/hyraxAbif/#readme
int-cast,https://github.com/hvr/int-cast
HsYAML,https://github.com/hvr/HsYAML
deepseq-generics,https://github.com/hvr/deepseq-generics
cryptohash-sha512,https://github.com/hvr/cryptohash-sha512
cryptohash-sha256,https://github.com/hvr/cryptohash-sha256
cryptohash-sha1,https://github.com/hvr/cryptohash-sha1
cryptohash-md5,https://github.com/hvr/cryptohash-md5
cassava,https://github.com/hvr/cassava
intset-imperative,https://github.com/hverr/haskell-intset-imperative#readme
cache,https://github.com/hverr/haskell-cache#readme
bordacount,https://github.com/hverr/bordacount#readme
iso639,https://github.com/HugoDaniel/iso639
